x,y,z
-0.6294518382857763,-0.383840368852635,0.6756159815440498
-0.9509342117418635,0.23049904097125082,0.2063839069554945
-0.17367603167720222,-0.7165052077953746,-0.6756159583838781
0.716502878581996,-0.17367477103816595,-0.6756187526175942
0.3838403938101275,-0.6294524669591294,0.6756153816475408
-0.3838372870790637,0.6294536432590773,0.6756160507534279
0.23050107700103029,0.950934277113036,0.2063813317935339
-0.8353999143246172,-0.5094254689285296,-0.2063799281746406
0.17367491852216962,0.7165059548309433,-0.6756154522863698
0.8354001822444712,0.5094240847191449,-0.2063822604149049
-2.755843683661043e-16,-4.211732820673036e-17,1.0
0.629454297315427,0.3838373323504728,0.6756154156657578
0.9509352958160092,-0.23049960782178955,0.20637827881179804
-4.512510123799334e-06,1.4937548151028722e-06,-0.9999999999887028
-0.23049755996124277,-0.9509352345248747,0.20638084841146143
-0.7165082651440356,0.17367619428938327,-0.6756126741835448
-0.5094244484883644,0.8354005902863675,-0.20637971080393092
0.509425122781184,-0.8353995002467722,-0.20638245871880334
